table_name,table_description,column_name&description
MH_RO_LABOUR,Contains OEM and Local Labor consumed in repair orders data,labr_charg_hrs (NUMERIC) NULLABLE: Labour Charged Hours
MH_RO_LABOUR,Contains OEM and Local Labor consumed in repair orders data,labr_discnt_amnt (NUMERIC) NULLABLE: Labour Discount Amount
MH_RO_LABOUR,Contains OEM and Local Labor consumed in repair orders data,labr_totl_amnt (NUMERIC) NULLABLE: Labour Total Amount
MH_RO_LABOUR,Contains OEM and Local Labor consumed in repair orders data,totalBillAmount (NUMERIC) NULLABLE: Total Bill Amount
MH_RO_LABOUR,Contains OEM and Local Labor consumed in repair orders data,labour_billable_type_name (STRING) NULLABLE: Labour Billable Type Name
MH_RO_LABOUR,Contains OEM and Local Labor consumed in repair orders data,labour_type_name (STRING) NULLABLE: Labour Type Name
MH_RO_LABOUR,Contains OEM and Local Labor consumed in repair orders data,labour_group_name (STRING) NULLABLE: Labour Group Name

MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,sv_ro_hdr_sk (INTEGER) NULLABLE: Service RO Header SK
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,sv_ro_bill_hdr_sk (INTEGER) NULLABLE: Service RO Bill Header SK
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,sv_ro_bill_part_dtl_sk (INTEGER) NULLABLE: Service RO Bill Part Detail SK
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_code (STRING) NULLABLE: Part Code
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_desc (STRING) NULLABLE: Part Description
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_quantity (NUMERIC) NULLABLE: Part Quantity
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_rate (NUMERIC) NULLABLE: Part Rate
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,partamount (NUMERIC) NULLABLE: Part Amount
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_tax (NUMERIC) NULLABLE: Part Tax
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_discnt_amnt (NUMERIC) NULLABLE: Part Discount Amount
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_totl_amnt (NUMERIC) NULLABLE: Part Total Amount
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,oem_part_ind (STRING) NULLABLE: OEM Part Indicator
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,abc_ind (STRING) NULLABLE: ABC Indicator
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,hml_ind (STRING) NULLABLE: HML Indicator
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,landed_cost (NUMERIC) NULLABLE: Landed Cost
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,ris_ind (STRING) NULLABLE: RIS Indicator
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,purchs_pric (NUMERIC) NULLABLE: Purchase Price
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,selng_pric (NUMERIC) NULLABLE: Selling Price
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,mrp (NUMERIC) NULLABLE: MRP
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,hsn (STRING) NULLABLE: HSN
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,net_delr_pric (NUMERIC) NULLABLE: Net Dealer Price
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,discnt_rate (NUMERIC) NULLABLE: Discount Rate
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,gndp (NUMERIC) NULLABLE: GNDP
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,ndp (NUMERIC) NULLABLE: NDP
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,bill_share (NUMERIC) NULLABLE: Bill Share
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,total_bill_amount (NUMERIC) NULLABLE: Total Bill Amount
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_category_description (STRING) NULLABLE: Part Category Description
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_billable_type_name (STRING) NULLABLE: Part Billable Type Name
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,discount_type_name (STRING) NULLABLE: Discount Type Name
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,product_division_name (STRING) NULLABLE: Product Division Name
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_type_name (STRING) NULLABLE: Part Type Name
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,part_category_group (STRING) NULLABLE: Part Category Group
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,common_part_category (STRING) NULLABLE: Common Part Category
MH_RO_PARTS,Contains OEM and Local Parts consumed in repair orders data,category1 (STRING) NULLABLE: Category1

MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_CANCL_DATE (DATE) NULLABLE: RO Cancel Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,SPOT_CARE_APPL_FL (STRING) NULLABLE: Spot Care Applied Flag
MH_RO_HDR_DETAILS,Contains Repair Order header details,VEHCL_TOE_IND (STRING) NULLABLE: Vehicle TOE Indicator
MH_RO_HDR_DETAILS,Contains Repair Order header details,VIN (STRING) NULLABLE: VIN
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_DATE (DATE) NULLABLE: RO Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_DATETIME (TIMESTAMP) NULLABLE: RO DateTime
MH_RO_HDR_DETAILS,Contains Repair Order header details,BILL_DATE (DATE) NULLABLE: Bill Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,BILL_DATETIME (TIMESTAMP) NULLABLE: Bill DateTime
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_CLOSED_DATE (DATE) NULLABLE: RO Closed Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_STATS (STRING) NULLABLE: RO Status
MH_RO_HDR_DETAILS,Contains Repair Order header details,ODMTR_REDNG (INTEGER) NULLABLE: Odometer Reading
MH_RO_HDR_DETAILS,Contains Repair Order header details,SV_APNTMNT_HDR_SK (INTEGER) NULLABLE: Service Appointment Header SK
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_BILL_DATE (DATE) NULLABLE: RO Bill Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,CANCL_DATE (DATE) NULLABLE: Cancel Date
MH_RO_HDR_DETAILS,Contains Repair Order header details,SV_RO_HDR_SK (INTEGER) NULLABLE: Service RO Header SK
MH_RO_HDR_DETAILS,Contains Repair Order header details,PARNT_GROP (STRING) NULLABLE: Parent Group
MH_RO_HDR_DETAILS,Contains Repair Order header details,LOCTN_CD (STRING) NULLABLE: Location Code
MH_RO_HDR_DETAILS,Contains Repair Order header details,RO_ID (STRING) NULLABLE: RO ID
MH_RO_HDR_DETAILS,Contains Repair Order header details,PARTS_TOTL_AMNT (NUMERIC) NULLABLE: Parts Total Amount
MH_RO_HDR_DETAILS,Contains Repair Order header details,LABR_TOTL_AMNT (NUMERIC) NULLABLE: Labour Total Amount
MH_RO_HDR_DETAILS,Contains Repair Order header details,DOC_AMNT (NUMERIC) NULLABLE: Document Amount
